32	67	28	3	6	51	21	2	45	95	8	3	4	31	26	43	0
78	55	369	63	11	548	42	2	245	168	110	39	1	50	149	0	37
56	71	106	31	12	303	37	4	173	86	121	41	11	77	0	227	66
448	293	64	29	1	276	27	45	138	94	30	6	2	0	85	36	13
17	6	1	0	0	12	4	1	5	7	9	1	0	4	14	1	4
11	9	37	11	4	36	19	0	25	12	29	0	0	6	33	31	6
10	13	87	14	10	137	15	1	107	30	0	12	0	18	84	69	4
202	210	100	30	4	546	109	13	183	0	29	15	3	135	73	153	197
82	61	206	26	7	413	30	1	0	104	121	12	0	95	106	177	35
38	4	4	1	0	3	3	0	13	17	9	0	0	43	7	3	9
107	123	166	31	26	103	0	1	52	144	25	27	2	40	35	51	36
113	158	269	18	2	0	42	2	767	217	83	11	0	421	100	288	23
11	14	73	19	0	28	32	1	23	16	21	8	0	4	15	29	6
50	27	119	0	29	256	54	2	148	166	61	31	0	31	59	296	64
133	176	0	56	60	673	156	5	338	169	146	40	0	138	111	461	56
143	0	55	4	5	140	40	2	58	110	12	5	1	91	22	29	51
0	649	570	54	7	362	131	52	311	319	57	41	7	1043	104	333	74
