1	3	0	0	0	1	1	0	12	13	0	0	0	0	1	0	0
4	3	8	1	0	29	0	0	8	4	8	0	0	0	9	0	0
2	0	6	7	2	23	0	0	9	4	3	3	0	1	0	10	2
160	124	8	8	0	111	1	19	43	24	3	0	1	0	11	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	0	1	0	1	0	2	0	0	0	0	0	0
1	3	5	1	0	12	2	0	8	1	0	1	0	5	9	4	0
51	15	8	1	0	90	6	0	22	0	5	1	0	30	2	1	14
25	3	34	0	0	65	2	0	0	8	14	0	0	23	7	13	2
26	0	0	0	0	0	0	0	9	0	9	0	0	26	0	0	0
3	5	5	6	1	8	0	0	6	8	4	5	0	0	1	2	0
37	59	64	3	0	0	12	0	372	42	26	1	0	248	11	40	1
0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
3	0	5	0	0	8	3	1	3	6	3	1	0	0	1	3	3
5	4	0	0	1	27	1	0	14	8	6	0	0	12	5	9	2
15	0	0	1	1	13	0	1	3	0	1	0	0	14	1	0	0
0	45	18	0	0	72	0	6	54	12	13	0	0	75	7	0	6
