2	3	2	0	0	2	4	0	1	9	1	0	0	5	0	5	0
7	2	12	1	0	28	9	0	4	20	1	1	0	4	7	0	2
8	8	5	0	0	17	6	0	3	15	2	2	0	9	0	9	5
79	51	10	3	0	59	5	5	21	26	10	2	0	0	20	11	4
5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1
0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	1
0	0	1	0	2	1	2	0	1	1	0	1	0	1	2	1	0
14	14	6	3	1	48	11	1	10	0	1	0	0	21	16	18	18
2	0	1	0	0	4	0	0	0	4	0	0	0	2	0	1	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	16	7	0	4	11	0	0	4	11	3	0	1	12	3	11	8
12	7	10	0	0	0	4	0	17	7	0	0	0	11	9	3	0
0	0	1	0	0	1	0	0	3	2	0	0	0	0	0	0	0
2	0	1	0	0	1	1	0	0	3	0	0	0	0	1	3	2
8	6	0	0	3	13	6	0	4	5	1	0	0	9	5	11	1
36	0	13	0	1	13	7	1	5	14	0	2	0	27	5	3	5
0	21	8	1	0	16	3	0	0	11	1	0	1	30	5	5	2
