0	9	9	1	0	9	4	0	11	11	2	3	0	1	4	10	0
8	6	61	12	2	102	5	1	52	20	22	12	0	5	23	0	11
3	6	12	4	3	65	5	2	40	15	39	7	0	13	0	39	15
3	12	1	1	0	9	2	2	11	1	1	0	1	0	7	2	1
0	2	0	0	0	1	2	0	2	3	0	0	0	0	0	0	0
1	2	8	3	1	7	3	0	8	5	7	0	0	0	7	9	3
1	2	15	2	3	37	3	0	28	6	0	4	0	3	24	13	3
11	17	13	3	0	76	12	1	33	0	7	1	1	11	13	28	21
7	16	25	7	2	79	8	1	0	15	30	4	0	21	17	33	11
0	0	0	0	0	2	0	0	0	1	0	0	0	1	2	2	2
10	26	40	5	2	15	0	1	9	19	4	4	0	2	7	6	4
13	16	38	6	1	0	4	0	67	46	10	3	0	24	22	61	7
1	5	21	6	0	6	6	0	7	2	9	2	0	1	4	10	0
5	4	17	0	13	43	7	0	28	36	14	7	0	3	12	44	7
6	13	0	4	18	81	15	4	31	25	32	11	0	12	13	51	10
8	0	9	0	2	19	8	0	7	9	0	1	0	3	1	4	5
0	4	9	0	1	6	0	0	4	2	0	0	0	6	2	3	1
